cs_b9108_RAB41,RAB41
cs_j10697_UCK2,UCK2
cs_j6309_PPP1R7,PPP1R7
cs_q9876_GABRA4,GABRA4
cs_b4189_PRRT1,PRRT1
cs_b3709_GTF2B,GTF2B
cs_j4351_SLC25A32,SLC25A32
cs_b9775_C4orf26,C4orf26
cs_b11715_CPNE2,CPNE2
cs_b12331_SYCP1,SYCP1
cs_b10207_DEPDC7,DEPDC7
cs_j10790_STAU1,STAU1
cs_j7942_MYO1D,MYO1D
cs_b6435_IDH3G,IDH3G
cs_j10964_ANG,ANG
cs_q7165_CACNB1,CACNB1
cs_q4372_HEXIM1,HEXIM1
cs_q10496_ARPC5,ARPC5
cs_j11511_BUB3,BUB3
cs_b7787_GTPBP10,GTPBP10
cs_j12715_ZNF280A,ZNF280A
cs_q4428_AURKC,AURKC
cs_j12942_FAM73B,FAM73B
cs_j10063_ARHGAP15,ARHGAP15
cs_q4228_HLA-DRB5,HLA-DRB5
cs_b10711_NOX5,NOX5
cs_b13096_TRAPPC5,TRAPPC5
cs_j5810_ALPK1,ALPK1
cs_b10466_STRADB,STRADB
cs_b10660_SLCO6A1,SLCO6A1
cs_b11267_PTH2,PTH2
cs_q6382_TCL1B,TCL1B
cs_b12271_DUSP23,DUSP23
cs_q6748_CCND2,CCND2
cs_b7754b_TBX20,TBX20
cs_b8806_GLTSCR2,GLTSCR2
cs_j10638_CHRND,CHRND
cs_b10898_VEGFA,VEGFA
cs_q9787_DVL3,DVL3
cs_j10860_POTEB,POTEB
cs_j11993_NDUFS6,NDUFS6
cs_b4086_MXD1,MXD1
cs_j11282_SLC6A15,SLC6A15
cs_b8197_WIPI1,WIPI1
cs_b12256_CCL4,CCL4
cs_b4166_CD300C,CD300C
cs_q10402_MUCL1,MUCL1
cs_b10643_ZNF800,ZNF800
cs_b6095_BCL2L13,BCL2L13
cs_b6311_TFG,TFG
cs_q7387_KIAA0355,KIAA0355
cs_q7183_BCHE,BCHE
cs_j6667_FGFR1OP,FGFR1OP
cs_j12466_SLC35D1,SLC35D1
cs_q10504_RPS11,RPS11
cs_b4151_CAMTA2,CAMTA2
cs_b5953_MAGEA1,MAGEA1
cs_b10520_CPA2,CPA2
cs_q4788_RNPC3,RNPC3
cs_q8580_EXD2,EXD2
cs_q8761_ADIPOR1,ADIPOR1
cs_b5797_LIPT1,LIPT1
cs_b9169_CD79A,CD79A
cs_b5554_KIAA0825,KIAA0825
cs_j12409_IGF2BP3,IGF2BP3
cs_j4739_CD74,CD74
cs_j9171_GBAS,GBAS
cs_q10193_KDM4B,KDM4B
cs_q7157_MTMR14,MTMR14
cs_b10206_PRDM14,PRDM14
cs_b9555_SDHB,SDHB
